,episode,speaker,lines
0,Candlenights in Tacoma Live Show,The Adventure Zone  ,
1,Candlenights in Tacoma Live Show,Dungeon Master & NPCs, Griffin McElroy
2,Candlenights in Tacoma Live Show,Magnus Burnsides, Travis McElroy
3,Candlenights in Tacoma Live Show,Merle Highchurch, Clint McElroy
4,Candlenights in Tacoma Live Show,Taako Taaco, Justin McElroy
5,Candlenights in Tacoma Live Show,Tacoma Live Show,
6,Candlenights in Tacoma Live Show,(part of TAZscripts on Tumblr) ,
7,Candlenights in Tacoma Live Show,Griffin," Hey everybody, this is Griffin. Real quick, before we get into this episode, I wanted to give you a heads up that the audio is not amazing. This is our live show from Tacoma, and the levels were a little bit too hot, and it’s a little bit blown out because of that. It’s still totally listenable, but it’s not really up to snuff, and I’m very sorry about that. I hope you enjoy it regardless. We still really wanted to put it out, because this is our Candlenights episode, and it was a lot of fun to record, and we wanted you to hear it anyway. But I wanted to give you a heads up, that, yeah, the levels aren’t super super great. But, yeah, we’ll be back next week, though! "
8,Candlenights in Tacoma Live Show,"If you haven’t heard, we’re going to be trying to go weekly, starting in January, with the rest of the experimental arcs, and I’m going to be running the next one, and i’m really excited for you to hear it. So the next one, the next episode you hear is going to be our Setup episode for my next arc, and that is going to go up on Thursday, January 4th. So go ahead and listen to our Candlenights Adventure, and I’ll be back with the commercial break here in a bit!",
9,Candlenights in Tacoma Live Show,{1,00}
10,Candlenights in Tacoma Live Show,[Intro music],
11,Candlenights in Tacoma Live Show,{1,30}
12,Candlenights in Tacoma Live Show,Griffin," Alright, so I’ve got a poem I wrote to walk us into the adventure tonight. Uh, and if you could go ahead and play the… Poem Background Music? [sleigh bells jingle and continue under Griffin’s poem] There we go. [audience laughs] "
13,Candlenights in Tacoma Live Show,"“‘Twas the night before Candlenights, ",
14,Candlenights in Tacoma Live Show,and all through the land–” ,
15,Candlenights in Tacoma Live Show,Griffin," Oh, that’s a little loud. [laughs]"
16,Candlenights in Tacoma Live Show,Clint, [loudly] What?
17,Candlenights in Tacoma Live Show,Griffin,
18,Candlenights in Tacoma Live Show," “And all through the land, ",
19,Candlenights in Tacoma Live Show,danger clawed upward ,
20,Candlenights in Tacoma Live Show,with a dark frozen hand. ,
21,Candlenights in Tacoma Live Show,In the depths of a dungeon ,
22,Candlenights in Tacoma Live Show,at the edge of the world ,
23,Candlenights in Tacoma Live Show,"a conflict was brewing, ",
24,Candlenights in Tacoma Live Show,an adventure unfurled–” ,
25,Candlenights in Tacoma Live Show,Griffin," If you could just bring the music down even more. [Clint laughs] Just like, half that, oh there we go."
26,Candlenights in Tacoma Live Show,"“In the hold known as Icekeep, ",
27,Candlenights in Tacoma Live Show,a voice within wails ,
28,Candlenights in Tacoma Live Show,"and echoes off mountains, ",
29,Candlenights in Tacoma Live Show,through valleys and trails ,
30,Candlenights in Tacoma Live Show,"and into New Phandalin, ",
31,Candlenights in Tacoma Live Show,"a town you’ll recall, ",
32,Candlenights in Tacoma Live Show,whose mayor became troubled ,
33,Candlenights in Tacoma Live Show,by this sad caterwaul. ,
34,Candlenights in Tacoma Live Show,So she called out for heroes,
35,Candlenights in Tacoma Live Show, in a media blitz ,
36,Candlenights in Tacoma Live Show,for a mission," well paying, "
37,Candlenights in Tacoma Live Show,with good benefits. ,
38,Candlenights in Tacoma Live Show,So did heroes emerge ,
39,Candlenights in Tacoma Live Show,"and embark on the quest, ",
40,Candlenights in Tacoma Live Show,and all ended in failure ,
41,Candlenights in Tacoma Live Show,"and their dark, endless rest. ",
42,Candlenights in Tacoma Live Show,Save for one team of heroes– ,
43,Candlenights in Tacoma Live Show,and you might know their names– ,
44,Candlenights in Tacoma Live Show,"Merle, Magnus and Taako ",
45,Candlenights in Tacoma Live Show,of Adventure Zone fame! ,
46,Candlenights in Tacoma Live Show,[audience cheers] ,
47,Candlenights in Tacoma Live Show,They saved the world once ,
48,Candlenights in Tacoma Live Show,"and were financially stable, ",
49,Candlenights in Tacoma Live Show,but when trouble arises ,
50,Candlenights in Tacoma Live Show,they’re still willing and able ,
51,Candlenights in Tacoma Live Show,to battle for glory ,
52,Candlenights in Tacoma Live Show,in a worthwhile melee ,
53,Candlenights in Tacoma Live Show,or find treasure for Taako ,
54,Candlenights in Tacoma Live Show,to squirrel away. ,
55,Candlenights in Tacoma Live Show,And so stand Tres Horny Boys ,
56,Candlenights in Tacoma Live Show,before the Icekeep,
57,Candlenights in Tacoma Live Show,to hunt down the crier,
58,Candlenights in Tacoma Live Show, and put it to sleep. ,
59,Candlenights in Tacoma Live Show,If only they knew ,
