,episode,speaker,lines
0,Dallas Live Show,The Adventure Zone,
1,Dallas Live Show,Dungeon Master & NPCs, Griffin McElroy
2,Dallas Live Show,Magnus Burnsides, Travis McElroy
3,Dallas Live Show,Merle Highchurch, Clint McElroy
4,Dallas Live Show,Taako, Justin McElroy
5,Dallas Live Show,Dallas Live Show,
6,Dallas Live Show,(part of TAZscripts on Tumblr),
7,Dallas Live Show,[THEME MUSIC, “Déjà Vu” by Mort Garson (full song on YouTube)]
8,Dallas Live Show,Griffin," I’m wearing a sweater from J Crew. [audience cheers] Alright, alright."
9,Dallas Live Show,Travis, And now I have to shed a bunch of pieces so I can operate as a human being.
10,Dallas Live Show,Griffin," Let’s go behind the music a little bit, let’s say there’s some pieces of Travis’s sort of tunic-girdle situation that maybe, the armor— "
11,Dallas Live Show,Travis, He’s had some offtime.
12,Dallas Live Show,Griffin, He’s had some offtime(!)
13,Dallas Live Show,Travis," There was another piece that went about my waist, or attempted to. [audience laughter] Listen, hard-living, you know what I mean? I beat the Hunger and then I experienced the hunger."
14,Dallas Live Show,Justin," “I saw seven birds” oh hell yeah, fried, roasted, what’s up? Fucking eat those for sure. Where are these seven birds? Why are you holding out on me? I’m starving!"
15,Dallas Live Show,Griffin," Hi everybody, welcome to The Adventure Zone live in Dallas! [audience cheers] Sorry about the “yee-haw” thing in the intro, I sat backstage for like thirty minutes and couldn’t think of anything else to say."
16,Dallas Live Show,Clint," Hey, it’s us!"
17,Dallas Live Show,Justin," I was backstage, it was about three."
18,Dallas Live Show,Griffin," I get nervous, I need to dial in. Speaking [elongating the f] of… Do we want to talk about what Dad did today, or save that for MBMBaM?"
19,Dallas Live Show,Justin," Save it for tomorrow. I’ve seen the numbers and I know some of y’all aren’t coming tomorrow so buy your tickets, you’re going to get a great vignette about our dad."
20,Dallas Live Show,Clint, It’s bad.
21,Dallas Live Show,Griffin," You’re right, we should get into it because we got a lot to do today and we always run out of time. Do we have a timer?"
22,Dallas Live Show,Justin," [repeatedly, in an odd accent] Paul?"
23,Dallas Live Show,Travis, [elongated] Pauuuuuuul?
24,Dallas Live Show,Clint, Paul! Ladies and gentleman! [presumably Paul has brought/shown the McElroys a timer]
25,Dallas Live Show,[audience cheers],
26,Dallas Live Show,Griffin," Thank you, Paul!"
27,Dallas Live Show,Justin, Go to paulandstorm.gov to hear some of their tracks!
28,Dallas Live Show,Griffin, That they make.
29,Dallas Live Show,Justin, That they make. Paul and his imaginary friend Storm.
30,Dallas Live Show,[Griffin laughs],
31,Dallas Live Show,Justin, He swears he’s real.
32,Dallas Live Show,Griffin, Uh— 
33,Dallas Live Show,Clint," [crosstalk] Wait wait wait, before we get started— "
34,Dallas Live Show,Justin, [noises of surprise and disbelief]
35,Dallas Live Show,Clint," I’d like everybody to look at the back of the theatre, everybody look at the back of the theatre."
36,Dallas Live Show,Justin, These are the emergency exits [inaudible]
37,Dallas Live Show,Clint," Okay, you can look back up here now. [Griffin laughs]"
38,Dallas Live Show,Clint, That’s where Bobby sits. Hey Bobby!
39,Dallas Live Show,Griffin, Hey Bobby.
40,Dallas Live Show,Travis, Hey! {{258}}
41,Dallas Live Show,Justin," [stuttering] Hi Bobby, Bobby’s running the sound board up there, Bobby came to us before the show and said, “So what are y’all gonna be discussing tonight?” and I was like, “Well Bobby, that’s a very hard question to answer my friend, hold on a second.”"
42,Dallas Live Show,Clint," And he said, “Well give me a shout-out, that way I can wake up.”"
43,Dallas Live Show,Griffin, Can we get house lights for a second so we can see the good good cosplay that’s happening?
44,Dallas Live Show,Justin," Yeah, house lights, could we get house lights for a second?"
45,Dallas Live Show,Griffin," If you are— oh there’s Bobby with the strobe, thank you Bobby."
46,Dallas Live Show,Justin, Bobby’s got a strobe.
47,Dallas Live Show,Griffin," Can we get house lights? Is there a switch or, is there a dial that says maybe “HL” on it, short for house lights? No, okay, then we can’t get house lights, we’ll do that after intermission! Let’s get into the adventure, here we go."
48,Dallas Live Show,Justin, Hell yeah!
49,Dallas Live Show,Clint, Yeah!
50,Dallas Live Show,Travis," But, but Paul, if I could grab a writing utensil…"
51,Dallas Live Show,Griffin, Travis needs a writing utensil.
