,episode,speaker,lines
0,Live Boston Stunt Spectacular,The Adventure Zone,
1,Live Boston Stunt Spectacular,Dungeon Master & NPCs, Griffin McElroy
2,Live Boston Stunt Spectacular,Magnus Burnsides, Travis McElroy
3,Live Boston Stunt Spectacular,Merle Highchurch, Clint McElroy
4,Live Boston Stunt Spectacular,Taako Taaco, Justin McElroy
5,Live Boston Stunt Spectacular,Live Boston Stunt Spectacular,
6,Live Boston Stunt Spectacular,(part of TAZscripts on Tumblr) ,
7,Live Boston Stunt Spectacular,Griffin," Hey everybody, this is Griffin McElroy, your Dungeon Master, your best friend, and... a third thing that I will think of, later, at the commercial break. "
8,Live Boston Stunt Spectacular,Griffin," Uh, thank you all for listening to The Adventure Zone, this is gonna be a special episode because uh Travis and Teresa had a baby and we are so happy for them! Teresa and the baby are both doing very well, um, and so what you’re about to hear is one of three episodes that we have ready for our sort of... group paternal leave, because my wife Rachel and I, we’re expecting a baby also in early December. "
9,Live Boston Stunt Spectacular,Griffin," So we are going to put out this episode now, I’m so excited for you to hear it, it is our Boston live show, uh, that we did at the Wilbur Theater. It was a sold out crowd, and it was one of the best nights of my whole life. Everybody there was so, so so spectacular and I was really happy with how the story turned out. My hope is that the next episode you hear, which is gonna go up on November 17th, will be the second episode in The Suffering Game arc that we just started. Man, that title is so…. It’s so brutal to say. But that is my hope. "
10,Live Boston Stunt Spectacular,Griffin," And then, uh, once I am also a papa, we will have two more episodes ready for you that I am also so excited to get to. But this just had to be the first one that we put out for this parental leave block, because I can’t not— you can’t not have heard it anymore. It’s too important. I think you’re really gonna enjoy it and like I said,  [theme music begins to fade in] the next episode should be a regular one if things calm down a bit and we have some time to put some play time on the books. But for now, enjoy the Boston Live Stunt Spectacular. "
11,Live Boston Stunt Spectacular,[THEME MUSIC," ""Déjà Vu"" by Mort Garson (full song on YouTube) rises to full volume; a cheering crowd can be heard and overtakes the music almost entirely.]"
12,Live Boston Stunt Spectacular,Griffin," You know we’re just gonna play Dungeons & Dragons, right?"
13,Live Boston Stunt Spectacular,[The boys laugh and the crowd laughs/screams.],
14,Live Boston Stunt Spectacular,Clint," Alright. You’ve heard the show, right?"
15,Live Boston Stunt Spectacular,Griffin," You guys, um,"
16,Live Boston Stunt Spectacular,Justin," That was the loudest thing I’ve ever heard in my entire life. [crosstalk, the crowd laughs]"
17,Live Boston Stunt Spectacular,Griffin," Uh, these costumes are wonderful, and thank you boys for the hard work that went into them. I did— this is a fun story— just have to help Dad change into his costume backstage [the crowd laughs] which was a horrifying look into the future. [the crowd cheers and claps] There’s actually a small, a smaller person in there that’s controlling the arm for Dad, it’s like a—"
18,Live Boston Stunt Spectacular,Travis," Please be careful of Justin’s drink with your giant wooden hand, Dad."
19,Live Boston Stunt Spectacular,Clint, Oh my god.
20,Live Boston Stunt Spectacular,Justin, If it touches me I’m burning this fucker down.
21,Live Boston Stunt Spectacular,Travis, Is there anyone here who has not ever listened to the show?
22,Live Boston Stunt Spectacular,Justin," Son of a bitch, stop it. (probably directed at Clint)"
23,Live Boston Stunt Spectacular,[a few isolated cheers from the crowd in response to Travis’s question],
24,Live Boston Stunt Spectacular,Travis, You’re gonna be so confused! [crowd laughter]
25,Live Boston Stunt Spectacular,Justin," Okay, time out. We need to take a vote. This is gonna be untenable. [crowd laughter]"
26,Live Boston Stunt Spectacular,Travis," Yeah, you’re gonna need to remo— oh can you even remove it, is it strapped underneath your cloak?"
27,Live Boston Stunt Spectacular,Griffin, It’s strapped on underneath the clothes. [crowd laughter]
28,Live Boston Stunt Spectacular,Justin," Okay, listen, while Dad deals with that—"
29,Live Boston Stunt Spectacular,Griffin," So, um, there are a few people here who haven’t listened, we play Dungeons & Dragons, and well they play it, I run the game, do you guys wanna talk a little bit about your characters?"
30,Live Boston Stunt Spectacular,[crowd cheers],
31,Live Boston Stunt Spectacular,Justin, I thought that’s why we had the thing with the... [presumably this video or one like it was played at the venue.]
32,Live Boston Stunt Spectacular,Griffin," Yeah, that’s a good point."
33,Live Boston Stunt Spectacular,Justin," The thing— My name is Justin McElroy, I play Taako, he— [interrupted by crowd cheering enthusiastically] Thank you. Thank you. It’s a collaborative creation. And uh, he’s a wizard, and, I dunno, he’s down for whatever. [crowd laughter] Well, unless it’s dangerous, in which case ‘Taako’s good out here.’ [crowd laughter]"
34,Live Boston Stunt Spectacular,Clint," And my name is Clint McElroy, and [crowd cheering] Are you just gonna keep interrupting with these outbursts?? [Griffin laughs, small cheer from the crowd] ‘Cause it’s cool! [crowd cheers] Yeah, do that!"
35,Live Boston Stunt Spectacular,Travis, We’ve got all night.
36,Live Boston Stunt Spectacular,Clint," We’ve got all night! I play, uh, Merle Highchurch [crowd cheers] who is a… Uh…"
37,Live Boston Stunt Spectacular,Griffin, Cleric— [crowd laughs]
38,Live Boston Stunt Spectacular,Clint, An elf…
39,Live Boston Stunt Spectacular,Travis, Nope! Nope.
40,Live Boston Stunt Spectacular,Griffin," It’s funny, because it’s so true."
41,Live Boston Stunt Spectacular,Clint, Dwarf.
42,Live Boston Stunt Spectacular,Travis, Yup.
43,Live Boston Stunt Spectacular,Clint, He’s a dwarf…
44,Live Boston Stunt Spectacular,Travis, Don’t help him! [crowd laughs] He can— he has to do this on his own.
45,Live Boston Stunt Spectacular,Clint," A pr— uh, uh, cleric— [small crowd cheers]"
46,Live Boston Stunt Spectacular,Travis, Yup. He does clerical work.
47,Live Boston Stunt Spectacular,Clint," He likes long walks on the beach,"
48,Live Boston Stunt Spectacular,Griffin," Okay, Travis, what do you do?"
49,Live Boston Stunt Spectacular,Travis," And I am Travis McElroy, [crowd cheers] and I play Magnus Burnsides the fighter. [crowd cheer] He is—"
50,Live Boston Stunt Spectacular,Clint, The Hammer!
51,Live Boston Stunt Spectacular,Travis," The Hammer, he is known as The Hammer in some small circles. [crowd laugh] Um, he is a human,"
52,Live Boston Stunt Spectacular,Griffin," Yeah, humanity! Yes, that’s us!"
53,Live Boston Stunt Spectacular,Travis," Anyone else here human?! [crowd cheer] Uh, he has a pet goldfish named Steven who is alive and well, [crowd cheer] uh, and he pulls robots’ arms off."
54,Live Boston Stunt Spectacular,Griffin," Hey, let’s uh—"
55,Live Boston Stunt Spectacular,Clint, That’s a hobby.
56,Live Boston Stunt Spectacular,Justin," Uh, would it be possible for us to get a little bit more monitor on the stage?"
57,Live Boston Stunt Spectacular,Griffin," Yeah, I’m having a bit of a hard time hearing my— my family."
58,Live Boston Stunt Spectacular,Justin," They real horny for this one and uh, it’s hard— [crowd cheers]"
59,Live Boston Stunt Spectacular,Travis, They were way hornier than we anticipated.
60,Live Boston Stunt Spectacular,Justin," So if we could hear ourselves a little bit louder that would be amazing, thank you."
61,Live Boston Stunt Spectacular,Clint, And that’s Griffin McElroy! 
62,Live Boston Stunt Spectacular,Griffin, Hi! [crowd cheers] [in a dudebro voice] And I— I play the part of Douglas and he’s a gnome thief. Let’s get started.
63,Live Boston Stunt Spectacular,Justin, Hell yeah.
64,Live Boston Stunt Spectacular,Travis, Yeah.
65,Live Boston Stunt Spectacular,Justin," Wait, can, Travis, can you hand me my assistant Courvoisier. "
66,Live Boston Stunt Spectacular,Travis, Yeah.
67,Live Boston Stunt Spectacular,Justin," And, uh, ginger ale?"
68,Live Boston Stunt Spectacular,Griffin, Travis just brought a big box of beverages out here. [crowd cheers]
69,Live Boston Stunt Spectacular,Clint, IT’S A PROP! It’s not real!
70,Live Boston Stunt Spectacular,Griffin," Yeah, that’s a magic podcast potion."
71,Live Boston Stunt Spectacular,Justin, That’s how the magic happens. [crowd laughs]
72,Live Boston Stunt Spectacular,Clint, God.
73,Live Boston Stunt Spectacular,Justin," I’m gonna keep this down here so I don’t block line of sight cause we’re gonna do— if this is an indication of the level of, this Courvoisier is any indication, we’re about to do some connection, you and I."
74,Live Boston Stunt Spectacular,Griffin," So uh, this is gonna be a little—"
75,Live Boston Stunt Spectacular,Clint, Lord!
76,Live Boston Stunt Spectacular,Justin, Oh yeah!
77,Live Boston Stunt Spectacular,Griffin," Oh yeah, Travis, tell them what that is. [crowd cheering]"
78,Live Boston Stunt Spectacular,Clint," Isaac, your Love Boat bartender, ladies and gentlemen!"
79,Live Boston Stunt Spectacular,Justin," I don’t know if you can see, "
80,Live Boston Stunt Spectacular,Clint, Holy shit!
81,Live Boston Stunt Spectacular,Griffin," Yeah, just make sure you build a wall so nobody can see you— "
82,Live Boston Stunt Spectacular,Justin," And Dad’s got a Diet Coke. Can you show ‘em the one bottle, that Andy made—"
83,Live Boston Stunt Spectacular,Travis," Oh yeah, this is uh, from Columbia Brewing,"
84,Live Boston Stunt Spectacular,Justin," Andy, are you here, Andy?"
85,Live Boston Stunt Spectacular,Travis," From Andy, this is the Burnsides Brew Smithery Magnus BurnCider. That was made for us for this show. [crowd cheering]"
86,Live Boston Stunt Spectacular,Clint, [laughs] Patent pending.
87,Live Boston Stunt Spectacular,Griffin," It says it’s, uh, it says it’s an 18% alcohol content but really it’s just five."
88,Live Boston Stunt Spectacular,"[Travis laughs uproariously, along with the crowd.]",
89,Live Boston Stunt Spectacular,Travis, Ha ha ha ha HA! That was really good!
90,Live Boston Stunt Spectacular,Clint, That was funny!
91,Live Boston Stunt Spectacular,Justin, Oh yeah.
