,episode,speaker,lines
0,Live in Austin!,The Adventure Zone,
1,Live in Austin!,Dungeon Master & NPCs, Griffin McElroy
2,Live in Austin!,Magnus Burnsides, Travis McElroy
3,Live in Austin!,Merle Highchurch, Clint McElroy
4,Live in Austin!,Taako Taaco, Justin McElroy
5,Live in Austin!,Austin Live Show,
6,Live in Austin!,TAZ Transcript,
7,Live in Austin!,(part of TAZscripts on Tumblr) ,
8,Live in Austin!,"[Intro music fades in, audience cheers.]",
9,Live in Austin!,Griffin, Uh—
10,Live in Austin!,Clint, Hey!
11,Live in Austin!,Justin," If you were doing a documentary about us. That would be the moment that you just saw, where you’d be like, “And after that, it all went wrong.”"
12,Live in Austin!,Travis," I brought some hard candy that I was gonna like, fling out into the audience."
13,Live in Austin!,[audience cheers],
14,Live in Austin!,Griffin," No, I told him it’s— [crosstalk] "
15,Live in Austin!,Travis, Griffin told me not to do it but it sounds like...
16,Live in Austin!,Griffin," It’s fucking jawbreakers, those would be— those have a ballistic property—"
17,Live in Austin!,Clint, You’ll put an eye out! You’ll put an eye out!
18,Live in Austin!,Griffin, This is probably not allowed. Look at that. [Audience still cheering]
19,Live in Austin!,Clint," Don’t forget the balcony, Travis."
20,Live in Austin!,Justin, [serene] “After Travis blinded an extremely litigious Austinite with his jawbreakers…”
21,Live in Austin!,Travis," That’s gonna be it. I have a lot more, but I’ll just eat those during the show."
22,Live in Austin!,Justin, “It all fell apart after that.”
23,Live in Austin!,Griffin," I wanna thank… Oh, shit."
24,Live in Austin!,"[Cheering, laughter as Clint puts a big bottle of Gatorade on the table]",
25,Live in Austin!,Travis, A good start.
26,Live in Austin!,Clint," Boy, I have no— [unidentifiable] "
27,Live in Austin!,Justin," I hope everybody’s getting psyched, apparently halfway through Dad’s gonna run a fuckin marathon. Just like, blast the electrolytes."
28,Live in Austin!,Griffin, Uh—
29,Live in Austin!,Justin," ‘What are you doing tonight Clint?’ ‘Uh, podcast and rugby for four hours apparently.’"
30,Live in Austin!,Griffin, I’m glad you guys dressed up for this.
31,Live in Austin!,Travis, I didn’t.
32,Live in Austin!,Griffin," Oh. I was gonna say, I’m confused why you decided to cosplay as Tingle, Travis Touchdown and M. Bison from the Street Fighter movie."
33,Live in Austin!,Travis, This is Stolen Century Magnus.
34,Live in Austin!,Griffin," Yeah, sure."
35,Live in Austin!,Travis, He’s kind of a Johnny Storm type.
36,Live in Austin!,Travis, I will have to change glasses though because these are not prescription.
37,Live in Austin!,Justin," Hey, hey, uh, did anybody bring spell cards?"
38,Live in Austin!,"[Laughter, faint YES]",
39,Live in Austin!,Griffin, Did you really?
40,Live in Austin!,Justin, Come on up!
41,Live in Austin!,[Long and loud applause] ,
42,Live in Austin!,Travis, Here.
43,Live in Austin!,Griffin, Sick as hell.
44,Live in Austin!,Travis, [muffled by audience cheering] Do you want some hard candy?
45,Live in Austin!,Griffin," [through laughter] Hold on wait, hold on wait, did anybody bring cleric spell cards?"
46,Live in Austin!,Clint, Did anybody else bring cleric spell cards?...And a hush falls over the room. [A hush actually falls over the room]
47,Live in Austin!,Travis, That’s ‘cause no one plays as clerics.
48,Live in Austin!,Justin," That’s from an imaginary world where Dad uses those spells at all, to heal."
49,Live in Austin!,Griffin," Well, we’re gonna have to figure that out as we go, huh?"
50,Live in Austin!,Clint, I’ll just make the shit up as I usually do.
51,Live in Austin!,Travis, Do you guys know what spells Merle has?
52,Live in Austin!,[audience yells Zone of Truth!],
53,Live in Austin!,Travis, Thank you.
54,Live in Austin!,Clint, What was that again?
55,Live in Austin!,[audience yells Zone! of! Truth!],
56,Live in Austin!,Travis," Don’t play into that, he knew exactly what you said."
57,Live in Austin!,Clint," I have an eyepatch, I can’t hear very well…"
58,Live in Austin!,Travis," Get out, M. Bison."
59,Live in Austin!,Griffin, Um.
60,Live in Austin!,Justin," My man, what was your— who brought me the cards, what’s your name? "
61,Live in Austin!,Audience member, Joe.
62,Live in Austin!,Griffin, Joe?
63,Live in Austin!,Justin, Sorry?
64,Live in Austin!,Joe, Joe!
65,Live in Austin!,Justin," Joe, please don’t let me forget to give these back to you, I’ll feel bad forever. [laughter]"
66,Live in Austin!,Griffin, Y’all wanna get started?
67,Live in Austin!,Travis, Yes!
68,Live in Austin!,[cheering],
69,Live in Austin!,Griffin," I’m trying— we’re trying a new thing. Travis got me this soundboard for my birthday, and so I have some music cues, and so like, I’m gonna try and put some music in it, and if it doesn’t go well I’m just gonna stop doing it in the middle of the show. "
70,Live in Austin!,Travis, We also each bought new dice for this show. Griffin and I by choice—
71,Live in Austin!,Griffin, Yeah.
72,Live in Austin!,Travis, Dad and Justin because they just didn’t bring ‘em.
73,Live in Austin!,Justin," And I— I let Charlie pick mine, so [shows Hello Kitty dice]"
74,Live in Austin!,[cheering],
75,Live in Austin!,Griffin, Let’s play Dungeons and Dragons.
76,Live in Austin!,Justin, Hell yeah!
77,Live in Austin!,Travis," This is fun, we haven’t played Dungeons and Dragons in a while."
78,Live in Austin!,Justin, I know.
79,Live in Austin!,Griffin," S— Oh shit, we haven’t played Dungeons and Dragons in like, three months."
80,Live in Austin!,Justin," We were having a mini panic attack about it, yeah."
81,Live in Austin!,Clint, No.
82,Live in Austin!,Griffin," So. Uh, the three of you awaken to the sound of a bell chiming nine times. And just now I’m realizing that would’ve been a super good sound to get on my soundboard."
83,Live in Austin!,Clint[?]," Bong, bong, bong, bongbongbongbongbongbongbong."
84,Live in Austin!,Griffin," So, the three of you wake up, and you are in bed in your dorm room, and you throw open the curtains, and it’s just a lovely day outside. You see the Grand Library next door, this big shiny glass cube, and inside you can see students reading and studying and milling about. And you see wagons below, and they’re bringing in hordes of townies who swarm into the school’s main entrance. You see some sort of athletic team running drills on a really well-manicured field across the road. Um, it’s a really busy scene, and it’s one you’re well-accustomed to seeing every morning when you wake up here, at Neverwinter High School."
85,Live in Austin!,[audience cheers],
86,Live in Austin!,[Persona 4 - Pursuing My True Self plays],
87,Live in Austin!,Clint, Is that our alma mater?
88,Live in Austin!,Griffin," No. Uhhhh, all three of you make a wisdom-saving throw for me."
89,Live in Austin!,[music stops],
90,Live in Austin!,Clint, Which one is that?
91,Live in Austin!,Travis, The 20-sided one.
92,Live in Austin!,Clint, The 20-sided one?
93,Live in Austin!,Travis," Woah, that’s not good! Thanks, new dice, that’s a threeeeee!"
94,Live in Austin!,Justin, 15. [crosstalk]
95,Live in Austin!,Travis, I’m dumb!
96,Live in Austin!,Clint," Holy shit, it’s an 18!"
97,Live in Austin!,Griffin," Hey, all right!"
98,Live in Austin!,Travis, Should we switch?
99,Live in Austin!,Clint, Why now?! Why now?
100,Live in Austin!,Griffin," Magnus, it’s another day of high school!"
101,Live in Austin!,Travis, Sounds about right!
102,Live in Austin!,Griffin," Uh, Taako and Merle, you immediately realize something horrible has gone wrong."
103,Live in Austin!,[Laughter],
104,Live in Austin!,Travis," Thanks, new dice."
105,Live in Austin!,Griffin, Do you just wanna take the eyepatch off or?
106,Live in Austin!,Clint, Only when I wanna see.
107,Live in Austin!,Griffin, Okay.
108,Live in Austin!,Clint, Well ever since the whole drop-the-Gatorade incident.
109,Live in Austin!,Griffin," Taako and Merle, you remember going to sleep in the real world at "
110,Live in Austin!,"the Bureau of Balance Headquarters and waking up in this weird high school dorm room? You have to, I imagine, clue Magnus into this fact.",
111,Live in Austin!, Magnus, Whaaaaaat?!
112,Live in Austin!,Griffin," Yeah, Magnus, I think you were like, [singsong] excited for a new day, got my new Jansport. Got a new binder and it’s... blue! Justin, should we walk off the stage for like, 15 minutes while you shuffle your deck?"
113,Live in Austin!,Justin, Blame Joe!
114,Live in Austin!,Griffin," Joe, why didn’t you have your spellcards sorted in the way—"
115,Live in Austin!,Travis, Joe!
116,Live in Austin!,Justin," Nah nah, you’re good, Joe, thank you."
117,Live in Austin!,Griffin," Before we get started, I wanted to ask, what were the three of you like in high school? Obviously you didn’t go to high school together, or in Neverwinter, but here you are. What is your high school persona like?"
118,Live in Austin!,Travis," I’m gonna give of you a name, Griffin."
119,Live in Austin!,Griffin, Okay.
120,Live in Austin!,Travis, And that name is A.C. Slater.
121,Live in Austin!,"[cheers, laughter]",
122,Live in Austin!,Travis, And that stands for Ability Check Slater.
123,Live in Austin!,Griffin, [laughs] Armor Class would work too ‘cuz that’s what AC stands for.
124,Live in Austin!,Travis," Oh, that also works!"
125,Live in Austin!,Griffin, But okay.
126,Live in Austin!,Travis, I’ll go as D.C. Slater.
