,episode,speaker,lines
0,Live in San Francisco!,The Adventure Zone,
1,Live in San Francisco!,Dungeon Master & NPCs, Griffin McElroy
2,Live in San Francisco!,Magnus Burnsides, Travis McElroy
3,Live in San Francisco!,Merle Highchurch, Clint McElroy
4,Live in San Francisco!,Taako Taaco, Justin McElroy
5,Live in San Francisco!,San Francisco Live Show,
6,Live in San Francisco!,TAZ Transcript,
7,Live in San Francisco!,(part of TAZscripts on Tumblr) ,
8,Live in San Francisco!,"[Intro music fades in, audience cheers.]",
9,Live in San Francisco!,Griffin," Hi, San Francisco, welcome to The Adventure Zo-o-one."
10,Live in San Francisco!,[cheers],
11,Live in San Francisco!,Griffin," I was about to start introducing us, but I… everyone here is dressed like our characters, so I think that would be unnecessary. Uh, so—"
12,Live in San Francisco!,Travis," Oh wait, real quick, before we get started, before we get into anything, can we get some house lights up, please?"
13,Live in San Francisco!,Griffin," Oh, yeah, I wanna see that cosplay."
14,Live in San Francisco!,Justin, Let’s see it. [Griffin Woah.] Anybody dressed up?
15,Live in San Francisco!,Travis," If you’re in cosplay, stand up! Stand up."
16,Live in San Francisco!,[Chorus of appreciative “yeah”s from all four.],
17,Live in San Francisco!,Justin, You wild animals.
18,Live in San Francisco!,Travis," Now, we haven’t done this before, but if you think you are dressed as the most deep-cut, esoteric character, stay standing up."
19,Live in San Francisco!,Griffin, [laughs] Boyland! We got a Boyland.
20,Live in San Francisco!,[crosstalk regarding cosplays],
21,Live in San Francisco!,Travis, Fantasy Costco.
22,Live in San Francisco!,Griffin, We’ve got somebody dressed up as the Fantasy Costco.
23,Live in San Francisco!,Travis, We got a Voidfish. There’s a Steven up there! Yeah!
24,Live in San Francisco!,[cheers],
25,Live in San Francisco!,Justin, Very good!
26,Live in San Francisco!,Travis, Hell yeah!
27,Live in San Francisco!,Griffin," Alright, let’s get those house lights off. I’m, uh, shaking... with... fear! [nervous laughter]"
28,Live in San Francisco!,Justin," Ding ding ding ding. Ah, there they go, and they’re gone! Just me and my twenty closest friends."
29,Live in San Francisco!,Griffin, It’s imperative that you all don’t yell things at the stage during the show—
30,Live in San Francisco!,Travis, We spook easily.
31,Live in San Francisco!,Griffin," We’ve never announced that at the beginning of the show, [Justin Yeah.] but a lot of people wanna yell suggestions for cool spells… they wanna yell the rules..."
32,Live in San Francisco!,Clint, And we don’t do cool spells.
33,Live in San Francisco!,Griffin," Well, Justin does. They wanna yell the rules of D&D."
34,Live in San Francisco!,Justin, We used to have somebody in our first couple live shows.
35,Live in San Francisco!,Griffin," Oh, yeah."
36,Live in San Francisco!,Justin," We actually appointed— what did we call it? [chorus of “archivist”] The archivist. Which was somebody to sit in the audience with the D&D Player’s Handbook, and correct us on the rules. What the fuck were we thinking?"
37,Live in San Francisco!,Griffin, Yeah.
38,Live in San Francisco!,Justin, Seriously!
39,Live in San Francisco!,Clint," We would do an hour and a half, and… 88 minutes of it was the person correcting us."
40,Live in San Francisco!,Justin," We— Yeah. I remember when we stopped, because at a show we did in L.A., the archivist was tragically wedgied to death, and… We’ll always remember you, Dylan, wherever you may be, I presume Hell. But thank you, for all your help."
41,Live in San Francisco!,Griffin, Also that’s not gonna be a cool watch for them.
42,Live in San Francisco!,Justin," Yeah, that’s not fun for them. They paid their money."
43,Live in San Francisco!,Travis," All right, I am in, basically, a corset. So let’s move it along!"
44,Live in San Francisco!,Griffin," Let’s get rolling! Alright, let’s get started."
45,Live in San Francisco!,Travis, [gasps strenuously]
46,Live in San Francisco!,Griffin," Your adventure begins, as almost all of our live adventures begin, with a letter. You each received it in the mail several days ago. It’s been nearly a year— [muttering into microphone] spoilers for, uh, TAZ Balance— [normal voice] since the Day of Story and Song, [mild cheers] and still— it was a rough day, y’all, you don’t gotta cheer for that. And still your inboxes remain in a constant state of being blown up. But this letter caught your eye, solely because of who sent it. It read"
47,Live in San Francisco!,Davenport," Hey, gang, it’s your captain here."
48,Live in San Francisco!,[audience cheers],
49,Live in San Francisco!,Travis, Cap’nport!
