,episode,speaker,lines
0,MaxFunCon East Live,The Adventure Zone,
1,MaxFunCon East Live,Dungeon Master & NPCs, Griffin McElroy
2,MaxFunCon East Live,Magnus Burnsides, Travis McElroy
3,MaxFunCon East Live,Merle Highchurch, Clint McElroy
4,MaxFunCon East Live,Taako Taaco, Justin McElroy
5,MaxFunCon East Live,Brad “The Motivator” Bradson, Stuart Wellington
6,MaxFunCon East Live,MaxFunCon East Live,
7,MaxFunCon East Live,TAZ Transcript ,
8,MaxFunCon East Live,(part of TAZscripts on Tumblr),
9,MaxFunCon East Live,Announcer [as played by Justin]," Hello everyone! ...Well, Griffin had a baby, so I’m Mr. Low Voice this time! [sing-song] Looow voiiice. Are you ready for adventure? We have one for you! Like you ordered! We recorded it at MaxFunCon East in September! We hope you like it! Very much! The regular low voice guy will be back next time. Oh! And be sure to join us in the middle--by us I mean me and Justin--[snort] for an exciting announcement! Anyway, are you ready to ENTER--"
10,MaxFunCon East Live,Announcer [Pre-recorded Griffin], The Adventure Zone!
11,MaxFunCon East Live,"[Deja Vu by Mort Garson begins to play, audience cheering overhead.]",
12,MaxFunCon East Live,Travis, I’ve got so much shit!
13,MaxFunCon East Live,Griffin, We have so many gifts! So--and you guys are so far away from me! I didn’t realize.
14,MaxFunCon East Live,Travis," But so close to each other! ...Oh, you can’t do that."
15,MaxFunCon East Live,Griffin," Uh, hi everybody! Welcome to the--welcome to the podcast, you’re in--you’re in the podcast!"
16,MaxFunCon East Live,[Audience cheers.],
17,MaxFunCon East Live,Griffin, Who here has listened to The Adventure Zone before?
18,MaxFunCon East Live,[Loud cheering.],
19,MaxFunCon East Live,Griffin," OK. Thank--thank God! Uh, who here--who here has played Dungeons and Dragons before?"
20,MaxFunCon East Live,[More cheering.],
21,MaxFunCon East Live,Griffin, Who here played Dungeons and Dragons today?
22,MaxFunCon East Live,"[Two cheers, followed by laughter from the audience and Clint.]",
23,MaxFunCon East Live,Griffin," Fucking--that’s amazing. Uh, so we’re gonna--is the projector--OK, I can unplug this, then--uh, and uh, we’re--we’re gonna play a quick little one-shot little story game today, uh, do you guys wanna introduce yourselves?"
24,MaxFunCon East Live,Travis," Or our characters--us or our characters, Griffin?"
25,MaxFunCon East Live,Griffin, I think of you as sort of a symbiotic unit at this point.
