,episode,speaker,lines
0,Nashville Live Show,The Adventure Zone,
1,Nashville Live Show,Dungeon Master & NPCs, Griffin McElroy
2,Nashville Live Show,Magnus Burnsides, Travis McElroy
3,Nashville Live Show,Merle Highchurch, Clint McElroy
4,Nashville Live Show,Taako Taaco, Justin McElroy
5,Nashville Live Show,Nashville Live Show,
6,Nashville Live Show,(part of TAZscripts on Tumblr),
7,Nashville Live Show,{2,34}
8,Nashville Live Show,Announcer," Before presenting you with our tale of high adventure, I have a deadly important question for you, Nashville. Are you tres horny for this one? It’s The Adventure Zone!"
9,Nashville Live Show,[THEME MUSIC," ""Déjà Vu"" by Mort Garson]"
10,Nashville Live Show,[Audience cheers wildly],
11,Nashville Live Show,Travis, And now it’s time to switch to my prescription glasses.
12,Nashville Live Show,Justin," Always the most exciting, hard-core moment [indecipherable]. "
13,Nashville Live Show,Travis, Rock star!
14,Nashville Live Show,Griffin, [sheepish] Hey everybody.
15,Nashville Live Show,[audience cheers],
16,Nashville Live Show,Justin, Whew!
17,Nashville Live Show,Griffin," Before we get going, is there any way we can get full house lights and- so we can see all the cosplay? Because we’ve only been following it through Twitter, and— [crosstalk]"
18,Nashville Live Show,Travis," [crosstalk] Yeah, lights up. If you are doing cosplay, stand up!"
19,Nashville Live Show,[audience cheers],
20,Nashville Live Show,Clint, God!
21,Nashville Live Show,Griffin, It’s everybody. It’s everyone.
22,Nashville Live Show,Travis, Holy shit!
23,Nashville Live Show,Griffin, Holy shit.
24,Nashville Live Show,Justin, So good. [Travis laughs wildly] Y’all are… off the chain.
25,Nashville Live Show,[audience cheering],
26,Nashville Live Show,Travis, Keep going!
27,Nashville Live Show,Justin, So good.
28,Nashville Live Show,Clint, Aww!
29,Nashville Live Show,Justin, So good.
30,Nashville Live Show,[audience cheers],
31,Nashville Live Show,Clint, Ohhh!
32,Nashville Live Show,Justin," There’s one person here dressed like Naruto [pronounced Nuh-roo-doh, all say it the same way], and like I get it, but could you not? It’s kind of our…[crosstalk] thing…"
33,Nashville Live Show,Griffin, [crosstalk] Please dress like Naruto! Don’t Naruto-shame them!
34,Nashville Live Show,Justin," Also, is Naruto a character, or is… [crosstalk]"
35,Nashville Live Show,Travis, [crosstalk] Oh no!
36,Nashville Live Show,Griffin, [crosstalk] No one’s quite sure. Uh...
37,Nashville Live Show,Travis, I also don’t know!
38,Nashville Live Show,Justin, [crosstalk] I don’t know the answer.
39,Nashville Live Show,Clint, [crosstalk] It’s a state of mind.
40,Nashville Live Show,Griffin," You can turn the lights down now, I’m having a panic attack. And there they go, there they go, there they go… [crosstalk] and they don’t exist, it’s just the four of us!"
41,Nashville Live Show,Justin," [crosstalk] They’re gone, they’re gone. It’s just us four."
42,Nashville Live Show,[audience laughs],
43,Nashville Live Show,Justin, Who’s laughing? I don’t know.
44,Nashville Live Show,Travis, Whew!
45,Nashville Live Show,Justin," Uh, how do we…"
46,Nashville Live Show,Travis," Could you turn ‘em off on stage, too? [Justin & Griffin laugh] Just make it a super chill night?"
47,Nashville Live Show,Justin, Yeah.
48,Nashville Live Show,Griffin," Uh, y’all wanna-"
49,Nashville Live Show,Travis, [movie trailer voice] In the beginning…
50,Nashville Live Show,Griffin," Y’all wanna just get, get, get going, get into it? It’s been about two months since we’ve played Dungeons and Dragons, so this should be interesting."
51,Nashville Live Show,{5,16}
52,Nashville Live Show,[audience cheers],
53,Nashville Live Show,Clint, What’s my password on this? [his phone; audience laughs]
54,Nashville Live Show,Griffin, Holy shiiiiiiiiiitt.
55,Nashville Live Show,Travis, No! No! Don’t laugh for that! [crosstalk]
56,Nashville Live Show,Clint, [crosstalk] Laugh at it!
57,Nashville Live Show,Travis, He knows his password!
58,Nashville Live Show,Clint," Listen, this is America, you can laugh at any shit [crosstalk] you wanna laugh at!"
59,Nashville Live Show,Travis, [crosstalk] No!
60,Nashville Live Show,Griffin, Gettin’-
61,Nashville Live Show,Travis, Also! Also no.
62,Nashville Live Show,Griffin, Still no. Did you— did you s— solve the password puzzle over there? Are we good?
63,Nashville Live Show,Clint, I solv— I’m good.
64,Nashville Live Show,Griffin," Alright. Uh, let’s get going. Y’all ready?"
65,Nashville Live Show,Justin, I don’t have… the one with 20…
66,Nashville Live Show,Griffin, Are you fucking kidding me?
67,Nashville Live Show,Travis, You have two giant ones— [crosstalk]
68,Nashville Live Show,Justin," The big ones! Ok, the big ones, yeah, thes- deez nuts right here. These- [crosstalk] are twenties."
69,Nashville Live Show,Griffin, [crosstalk] Travis do you have a joke you wanna do [crosstalk] about being unprepared?
70,Nashville Live Show,Travis, [crosstalk] No! I am prepared and a good good D&D boy!
71,Nashville Live Show,Griffin, Good.
72,Nashville Live Show,Justin, There are some though—
73,Nashville Live Show,[audience cheers],
74,Nashville Live Show,Justin," Legit, and this should add some fun tension, there are some I don’t have, and I don’t know exactly [crosstalk] off the top of my head."
75,Nashville Live Show,Travis, [crosstalk] I got extries.
76,Nashville Live Show,Justin, Ok.
77,Nashville Live Show,Griffin, Trav’s got a bunch. Alright! Let’s do it.
78,Nashville Live Show,Justin," Ok… [pause] D4, for example…"
79,Nashville Live Show,Griffin, Yeah. It’s a—
80,Nashville Live Show,Travis, I got— Oh! Shit! I don’t have that.
81,Nashville Live Show,Griffin, Holy shit!
82,Nashville Live Show,Clint, I got a four! I got up a four! I got a four!
83,Nashville Live Show,Justin, [crosstalk] I just found a D4!
84,Nashville Live Show,Travis," [crosstalk] Ok, you’ve got a D4..."
85,Nashville Live Show,Clint, [crosstalk] The one with 20 sides...
86,Nashville Live Show,Travis, [crosstalk] That’s mine! Wait that’s my D4!  
87,Nashville Live Show,Justin," Ok this is Travis’s D4, but we’re kinda sharing it."
88,Nashville Live Show,Griffin, This is gonna be the whole episode.
89,Nashville Live Show,Justin, Joint custody D4.
90,Nashville Live Show,Travis," Before we walked out, Griffin said “no jokes about not knowing how to play the game, we have a lotta story to get to,” so I wanna clarify none of this has been jokes."
91,Nashville Live Show,Griffin, Good.
92,Nashville Live Show,Travis, Not a joke in the b— in the—
93,Nashville Live Show,Clint, Should we introduce ourselves?
94,Nashville Live Show,Griffin," Sure, yeah. I— yeah, sure. Who has not listened to The Adventure Zone before?"
95,Nashville Live Show,"[audience is almost silent, a few cheers]",
96,Nashville Live Show,Griffin," Alright, yeah..."
97,Nashville Live Show,Travis," I heard one lonely, [crosstalk] single—"
98,Nashville Live Show,Clint, [crosstalk] What the hell are you doing here?
99,Nashville Live Show,Griffin," No, don’t— don’t Naruto-shame them. Justin, who are you playing today?"
