,episode,speaker,lines
0,The Adventure Zone Presents: The Great Switcheroo,The Adventure Zone,
1,The Adventure Zone Presents: The Great Switcheroo,Dungeon Master & NPCs, Stuart Wellington
2,The Adventure Zone Presents: The Great Switcheroo,"Jeremy ""Scales"" Fangbattle", Elliott Kalan
3,The Adventure Zone Presents: The Great Switcheroo,Tanzer Silverview, Zhubin Parang
4,The Adventure Zone Presents: The Great Switcheroo,Lucian Buttwatcher, Dan McCoy
5,The Adventure Zone Presents: The Great Switcheroo,The Adventure Zone Presents,
6,The Adventure Zone Presents: The Great Switcheroo,The Great Switcheroo,
7,The Adventure Zone Presents: The Great Switcheroo,(part of TAZscripts on Tumblr),
8,The Adventure Zone Presents: The Great Switcheroo,Griffin," Previously, on The Adventure Zone..."
9,The Adventure Zone Presents: The Great Switcheroo,"Gundren is suddenly completely engulfed in flames, and he’s growing, and, uh, bouts of flame are sort of ripping off of his body and cutting entire buildings in half. The three of you dive into the well, and then, all of a sudden, all you see is flame above you.",
10,The Adventure Zone Presents: The Great Switcheroo,Travis," Well, tits."
11,The Adventure Zone Presents: The Great Switcheroo,Griffin," Just a giant burst of flame. The entire town, where it used to be, you look around, and...for about a half mile in diameter, all that you can see is black glass, a circle of black glass on the ground."
12,The Adventure Zone Presents: The Great Switcheroo,Travis," Well, this all sucks."
13,The Adventure Zone Presents: The Great Switcheroo,Announcer," From the ashes of Phandalin, three new heroes arise. Let’s see if the Flop House gang can survive one night in...The Adventure Zone!"
14,The Adventure Zone Presents: The Great Switcheroo,[theme music],
15,The Adventure Zone Presents: The Great Switcheroo,{1,21}
16,The Adventure Zone Presents: The Great Switcheroo,Stuart," Hey there. Welcome to The Adventure Zone. My name is Stuart Wellington, formerly of The Flop House podcast."
17,The Adventure Zone Presents: The Great Switcheroo,Dan, Formerly?
18,The Adventure Zone Presents: The Great Switcheroo,Elliott, Did you quit?
19,The Adventure Zone Presents: The Great Switcheroo,Stuart," No, I’m just joking. I’m a host of The Flop House podcast regularly, but I’m stepping in to be your dungeon master today. If you’re a follower of the MaxFun line of podcasts--which I’m sure you are, and if you’re not, why not?--you know that as part of the most recent MaxFun drive, we decided to do a switcheroo where the hosts of various programs are going to be taking over other programs. So the McElroys, all four of them, are going to be doing an episode of our show, The Flop House movie podcast, which is about bad movies. They’re gonna watch some terrible movie for you. Um, and we are going to be taking over The Adventure--the duties of The Adventure Zone today, investigating a different dungeon and some other dragons than the ones that you are used to on what is a semi-weekly basis. As I mentioned, I’m Stuart. I’m, I guess, the most experienced with Dungeons & Dragons and games like that. Been playing these sort of things since I was in high school, so I guess it was natural that I would take over the role of dungeon master. To my right is…"
20,The Adventure Zone Presents: The Great Switcheroo,Elliott," My name is Elliott Kalan, I’m another co-host of The Flop House. I have minimal, limited experience with Dungeons & Dragons. I played it a few times in high school, and since then, Stuart had--years later, Stuart pulled me back in with some amazing adventures. I’m still--I’m very forgetful about rules often, so I’m glad that Stuart’s runnin’ the show, and I’m looking forward to once again journeying into the fantasy worlds."
21,The Adventure Zone Presents: The Great Switcheroo,Dan," I’m Dan McCoy. My experience with Dungeons & Dragons is mostly that my brothers were into it, and I’m much younger than them, so I never played it with them, but I enjoyed reading the Monster Manual ‘cause I just like lookin’ at pictures of monsters. But I really don’t have any experience at all."
22,The Adventure Zone Presents: The Great Switcheroo,Zhubin," And I’m Zhubin Parang, occasional guest on The Flop House podcast, here brought in to help out because I have no experience with Dungeons & Dragons, but I’ve--I’ve--"
23,The Adventure Zone Presents: The Great Switcheroo,Stuart, You like games.
24,The Adventure Zone Presents: The Great Switcheroo,Zhubin," I do. I’ve played board games, so I feel like it’s the same."
25,The Adventure Zone Presents: The Great Switcheroo,Elliott," In fact, often I hear you say on the phone to I don’t know who, [imitating Saw] “Would you like to play a game?”"
26,The Adventure Zone Presents: The Great Switcheroo,Zhubin," And they always say absolutely, and we have a great hour or two playing games over the phone."
27,The Adventure Zone Presents: The Great Switcheroo,[laughter],
28,The Adventure Zone Presents: The Great Switcheroo,Elliott, Phone games.
29,The Adventure Zone Presents: The Great Switcheroo,Stuart," So, yeah, okay. So--"
30,The Adventure Zone Presents: The Great Switcheroo,Elliott," That’s from your movie, Phony Games."
31,The Adventure Zone Presents: The Great Switcheroo,Stuart," So what we’re gonna do now, guys, before we meet these--the new adventurers that are gonna find a--worm their way into the place of our listeners’ hearts, uh, I’m gonna set the stage a little bit. So, the three of you have been traveling together for some time. It’s up to you how long. Maybe a year, maybe five years, who knows?"
32,The Adventure Zone Presents: The Great Switcheroo,Elliott, But we know each other.
33,The Adventure Zone Presents: The Great Switcheroo,Stuart," You know each other. Uh, you were attempting to travel to the town of Phandalin, only to find that it is a blighted ruin, has been turned into a plain of black glass, and all the inhabitants murdered. And the people who weren’t murdered, uh, which I guess were living outside the town or were trying to go there to sell stuff…"
