,episode,speaker,lines
0,The The Adventure Zone Zone: Experiments Post-Mortem,The Adventure Zone,
1,The The Adventure Zone Zone: Experiments Post-Mortem,Clint McElroy," Commitment GM, Merle Highchurch, Edmund “Ned” Chicane, Gandy Dancer"
2,The The Adventure Zone Zone: Experiments Post-Mortem,Griffin McElroy," Balance GM, Amnesty GM, Chris “Remy” Rembrandt, Errol Ryehouse"
3,The The Adventure Zone Zone: Experiments Post-Mortem,Justin McElroy," Elementary GM, Taako, Irene Baker & Kardala, Duck Newton, Augustus Parsons"
4,The The Adventure Zone Zone: Experiments Post-Mortem,Travis McElroy," Dust GM, TAZ Knights GM, Magnus Burnsides, Nadiya Jones, Aubrey Little/Lady Flame"
5,The The Adventure Zone Zone: Experiments Post-Mortem,The The Adventure Zone Zone, 
6,The The Adventure Zone Zone: Experiments Post-Mortem,"Experiments Post-Mortem, More on Season Two",
7,The The Adventure Zone Zone: Experiments Post-Mortem,(part of TAZscripts on Tumblr),
8,The The Adventure Zone Zone: Experiments Post-Mortem,[Deja Vu (TTAZZ Remix) plays] ,
9,The The Adventure Zone Zone: Experiments Post-Mortem,Travis," It’s the, it’s a show… it’s the, where, it’s our own aftershow— in the show— "
10,The The Adventure Zone Zone: Experiments Post-Mortem,Justin," Damn, that’s a good start."
11,The The Adventure Zone Zone: Experiments Post-Mortem,[Laughter],
12,The The Adventure Zone Zone: Experiments Post-Mortem,Travis," Well, I’m trying to think of how to phrase it, you know, it’s an aftershow… but during, it’s a during-show… concurrent…"
13,The The Adventure Zone Zone: Experiments Post-Mortem,Justin," [crosstalk] Travis began the show being chased down a hill by Prince Humperdinck. And he threw himself down, roll roll roll roll roll, when he got to the bottom, he began… [hill-rolling grunts and oofs]"
14,The The Adventure Zone Zone: Experiments Post-Mortem,Travis," You know, sometimes, when you, you know, I think— this applies to the show too, you know, sometimes you open your mouth, and you’re like, the words are gonna be there! And sometimes they are, you know?"
15,The The Adventure Zone Zone: Experiments Post-Mortem,Justin, Yeah! Sometimes they are!
16,The The Adventure Zone Zone: Experiments Post-Mortem,Travis, And you make magic.
17,The The Adventure Zone Zone: Experiments Post-Mortem,Griffin," This is the The The Zone, Adventure Adventure Zone Zone Zone Zone Zone…"
18,The The Adventure Zone Zone: Experiments Post-Mortem,Travis, Yep!
19,The The Adventure Zone Zone: Experiments Post-Mortem,Griffin," It’s the talk show where we talk about the thing, and it’s the MaxFun Drive! And we’re done with the experimental arcs, there’s a lot of stuff going on. And… maybe we should answer some questions, we got a ton, thank you for sending them in. Um, thank you everybody who wanted to know if Errol would get his root beer, which is to say the 400 of you that emailed about Errol ever getting his root beer, the answer is [exaggerated wordless “I don’t know” noise]. So that’s one question down, we’re already deep in the shit."
20,The The Adventure Zone Zone: Experiments Post-Mortem,Travis, And that’s the biggest cliffhanger established in any of the mini-arcs. Um…
21,The The Adventure Zone Zone: Experiments Post-Mortem,Justin," Let’s take a quick moment before we get rolling, though. I wanna thank— thank you to our fanbase. We’ve never had a name for them, so I’m gonna start calling you Bachelor Nation. Thank you Bachelor Nation for your support of the Adventure Zone. We, it honestly means a lot. If you weren’t with us this time last year, we should mention that this is the MaxFunDrive, which means it’s the one time of year we come to you hat in hand and say, “Hey, could you give us a little bit of money for what you have taken from us?” Which is our gifts— and we have— "
22,The The Adventure Zone Zone: Experiments Post-Mortem,Travis," That’s how we always phrase it, yup yup yup."
